date,value
10/11/2006,4850470000000
10/10/2006,4849860000000
10/6/2006,4849750000000
10/5/2006,4849610000000
10/4/2006,4851030000000
10/3/2006,4850530000000
10/2/2006,4850290000000
9/29/2006,4843120000000
9/28/2006,4843010000000
9/27/2006,4854650000000
9/26/2006,4854460000000
9/25/2006,4853690000000
9/22/2006,4853630000000
9/21/2006,4853590000000
9/20/2006,4867320000000
9/19/2006,4867090000000
9/18/2006,4867180000000
9/15/2006,4867180000000
9/14/2006,4908200000000
9/13/2006,4913610000000
9/12/2006,4913640000000
9/11/2006,4913400000000
9/8/2006,4913390000000
9/7/2006,4913330000000
9/6/2006,4912170000000
9/5/2006,4911330000000
9/1/2006,4911150000000
8/31/2006,4884690000000
8/30/2006,4876340000000
8/29/2006,4876080000000
8/28/2006,4875930000000
8/25/2006,4876020000000
8/24/2006,4875870000000
8/23/2006,4874050000000
8/22/2006,4873790000000
8/21/2006,4873640000000
8/18/2006,4873520000000
8/17/2006,4873590000000
8/16/2006,4861440000000
8/15/2006,4861310000000
8/14/2006,4841000000000
8/11/2006,4840880000000
8/10/2006,4840790000000
8/9/2006,4829440000000
8/8/2006,4829270000000
8/7/2006,4829340000000
8/4/2006,4829250000000
8/3/2006,4829350000000
8/2/2006,4817380000000
8/1/2006,4817320000000
7/31/2006,4819730000000
7/28/2006,4799290000000
7/27/2006,4799240000000
7/26/2006,4791060000000
7/25/2006,4790440000000
7/24/2006,4790270000000
7/21/2006,4790160000000
7/20/2006,4790280000000
7/19/2006,4785990000000
7/18/2006,4785200000000
7/17/2006,4784440000000
7/14/2006,4796820000000
7/13/2006,4796440000000
7/12/2006,4790160000000
7/11/2006,4789890000000
7/10/2006,4789840000000
7/7/2006,4789640000000
7/6/2006,4789670000000
7/5/2006,4790480000000
7/3/2006,4790260000000
6/30/2006,4797200000000
6/29/2006,4785880000000
6/28/2006,4788850000000
6/27/2006,4787920000000
6/26/2006,4787410000000
6/23/2006,4786830000000
6/22/2006,4786730000000
6/21/2006,4798490000000
6/20/2006,4798390000000
6/19/2006,4797930000000
6/16/2006,4797780000000
6/15/2006,4797670000000
6/14/2006,4840380000000
6/13/2006,4839790000000
6/12/2006,4839160000000
6/9/2006,4838690000000
6/8/2006,4838100000000
6/7/2006,4839340000000
6/6/2006,4838920000000
6/5/2006,4829410000000
6/2/2006,4829400000000
6/1/2006,4806950000000
5/31/2006,4807520000000
5/30/2006,4794930000000
5/26/2006,4794640000000
5/25/2006,4794580000000
5/24/2006,4793100000000
